refuse	refuse.v.01
decline	decline.v.03
refusal	refusal.n.01
agree	agree.v.01
depend	depend.v.01
function	function.n.02
dependent	dependent.a.02
depends	depend.v.01
dependence	dependence.n.01
hang (on)	cling.v.02
turn	turn.v.01
determine	determine.v.01
independent	independent.a.04
independence	independence.n.01
hinge	hinge.v.01
factor	factor.n.01
variable	variable.n.01
dictate	dictate.v.01
cry	cry.n.05
howl	howl.n.02
squeak	squeak.n.01
chip	chip.v.01
break	break.v.43
snap	snap.v.03
